no.,word, sentence
1,Ecosystem, "The Amazon rainforest is a rich ecosystem teeming with diverse species."
2,Biodiversity, "The biodiversity of the coral reef is under threat due to climate change."
3,Conservation, "Conservation efforts are crucial to protect endangered species."
4,Habitat, "The panda's natural habitat is the bamboo forests of China."
5,Species, "The Bengal tiger is an endangered species."
6,Population, "The population of elephants in Africa has been declining due to poaching."
7,Climate, "The climate of the Sahara desert is extremely hot and dry."
8,Weather, "The weather forecast predicts rain for tomorrow."
9,Atmosphere, "The Earth's atmosphere is composed mainly of nitrogen and oxygen."
10,Ozone, "The ozone layer protects the Earth from harmful ultraviolet radiation."
11,Greenhouse, "Greenhouse gases trap heat in the Earth's atmosphere, leading to global warming."
12,Carbon, "Carbon dioxide is a major contributor to the greenhouse effect."
13,Nitrogen, "Nitrogen is an essential nutrient for plant growth."
14,Oxygen, "Oxygen is produced by plants through photosynthesis."
15,Hydrogen, "Hydrogen is the most abundant element in the universe."
16,Photosynthesis, "Photosynthesis is the process by which plants convert sunlight into energy."
17,Respiration, "Respiration is the process by which organisms convert oxygen and glucose into energy."
18,Decomposition, "Decomposition of organic matter returns nutrients to the soil."
19,Nutrient, "Nutrients like nitrogen and phosphorus are essential for plant growth."
20,Cycle, "The water cycle describes the movement of water on, above, and below the surface of the Earth."
21,Food chain, "In the food chain, energy is transferred from one organism to another."
22,Predator, "The lion is a predator at the top of the food chain."
23,Prey, "The gazelle is prey for many predators in the African savannah."
24,Herbivore, "A cow is an example of a herbivore."
25,Carnivore, "A wolf is an example of a carnivore."
26,Omnivore, "Humans are omnivores, capable of consuming a variety of foods."
27,Parasite, "A tick is a parasite that feeds on the blood of its host."
28,Symbiosis, "Symbiosis is a close and often long-term interaction between two different biological species."
29,Mutualism, "Mutualism is a type of symbiosis where both species benefit."
30,Commensalism, "Commensalism is a type of symbiosis where one species benefits and the other is not significantly affected."
31,Competition, "Competition for resources can influence the population dynamics of species."
32,Cooperation, "Cooperation among individuals can enhance the survival of a species."
33,Adaptation, "Camouflage is an adaptation that helps animals avoid predators."
34,Evolution, "Evolution is the process of change in all forms of life over generations."
35,Natural selection, "Natural selection is the process by which traits become more or less common in a population."
36,Mutation, "Mutation is a change in the DNA sequence of a gene."
37,Speciation, "Speciation is the evolutionary process by which new biological species arise."
38,Extinction, "The dodo bird is an example of a species that has gone extinct."
39,Fossil, "Fossils provide evidence about the types of organisms that existed in the past."
40,Geology, "Geology is the study of the solid Earth, the rocks of which it is composed, and the processes by which they change."
41,Plate tectonics, "Plate tectonics is the theory that Earth's outer shell is divided into several plates that glide over the mantle."
42,Volcano, "A volcano is a rupture in the crust of a planetary-mass object that allows hot lava, volcanic ash, and gases to escape from a magma chamber below the surface."
43,Earthquake, "An earthquake is the shaking of the surface of the Earth resulting from a sudden release of energy in the Earth's lithosphere."
44,Mountain, "A mountain is a large landform that rises above the surrounding land in a limited area."
45,Valley, "A valley is a low area between hills or mountains typically with a river running through it."
46,River, "A river is a natural flowing watercourse, usually freshwater, flowing towards an ocean, sea, lake or another river."
47,Ocean, "An ocean is a body of saline water that composes much of a planet's hydrosphere."
48,Lake, "A lake is an area filled with water, localized in a basin, surrounded by land, apart from any river or other outlet that serves to feed or drain the lake."
49,Pond, "A pond is a body of standing water, either natural or artificial, that is usually smaller than a lake."
50,Wetland, "A wetland is a distinct ecosystem that is flooded by water, either permanently or seasonally."
